query_id,raw_query,query_language,normalized_query_en,intent,faq_id,payment_method,sentiment,channel,user_persona,contains_typo,timestamp
Q-0001,"listen, kya mai apni ammi ka account apni CNIC se verify kr sakta hu unke phone pe? reply fast please",code_switched,Can I verify my mother's account using my own CNIC on her phone?,kyc_cnic,FAQ-046,N/A,neutral,whatsapp_support,small_business_owner,FALSE,26/04/2026 22:32
Q-0002,"need help fast - assalam o alaikum sir, mujhe apna zar labs account verify karna hai, kya karna parega? please guide me step by step",code_switched,"Hello sir, I need to verify my Zar Labs account, what do I need to do? Please guide me step by step.",account_verification,FAQ-001,N/A,neutral,whatsapp_support,small_business_owner,FALSE,29/04/2026 13:53
Q-0003,"kya video call se bhi verification ho sakti hai, mera selfie step baar baar fail horaha hai",code_switched,"Can verification also happen via video call, my selfie step keeps failing repeatedly?",kyc_cnic,FAQ-050,N/A,neutral,phone_call,general_user,FALSE,10/06/2026 3:30
Q-0004,"sir mera number change ho gaya hai, zar labs account mein kaise update karu ab verification hone k baad",code_switched,"Sir my number has changed, how do I update it in my Zar Labs account after already being verified?",account_verification,FAQ-007,N/A,neutral,whatsapp_support,senior_citizen,FALSE,31/05/2026 21:42
Q-0005,"sir, Paisa wapis aya k nai abi tak pata nahi chal rha, bill payment fail ho gaya tha koi to bata dein",roman_urdu,"My bill payment failed, I still can't tell whether the money has come back or not.",refunds,FAQ-021,N/A,neutral,in_app_chat,general_user,FALSE,18/06/2026 20:01
Q-0006,"TID hy mere pass, easypaisa se paise bheja tha zar labs wallet mein abi tak show nahin ho raha someone reply?",code_switched,"I sent money from EasyPaisa, it's still not showing in my Zar Labs wallet, I have the TID.",transaction_status,FAQ-017,EasyPaisa,worried,email,student,FALSE,13/05/2026 12:46
Q-0007,"Assalam o alaikum, mera daily transaction limit kitna hai verified account pe, bara payment karna h aaj",roman_urdu,"My top-up keeps failing repeatedly, will my account get locked because of this?",top_up_failure,FAQ-040,N/A,worried,phone_call,senior_citizen,FALSE,07/04/2026 11:59
Q-0008,"someone posing as a zar labs agent asked me to send money to activate my account, seems fishy",english,"Someone posing as a Zar Labs agent asked me to send money to activate my account, it seems fishy.",fraud_report,FAQ-074,N/A,worried,phone_call,freelancer,FALSE,20/06/2026 14:55
Q-0009,"sir, maine transaction cancel ki thi kal, refund abhi tak nahi aya wallet mein, kitna time lagta hai koi to bata dein",code_switched,"I cancelled a transaction yesterday, the refund still hasn't come to my wallet, how long does it take?",refunds,FAQ-022,N/A,neutral,in_app_chat,general_user,FALSE,10/04/2026 20:47
Q-0010,"yo, my transaction list isnt updating, i made a payment but its not showing yet pls help",english,"My transaction list isn't updating, I made a payment but it's not showing yet.",transaction_status,FAQ-018,N/A,neutral,phone_call,student,FALSE,09/04/2026 17:54
Q-0011,"hey, Refund milega kya is case mein, mere account se koi unauthorized transaction hui hy",code_switched,"There was an unauthorized transaction from my account, will I get a refund in this case?",refunds,FAQ-029,N/A,worried,whatsapp_support,freelancer,FALSE,03/06/2026 13:05
Q-0012,"hi, galti se maine apna OTP kisi ko de diyya tha phone pe, ab hi dar lag rha hai account ka",code_switched,"By mistake I gave my OTP to someone on the phone, now I'm scared about my account.",fraud_report,FAQ-079,N/A,worried,in_app_chat,student,TRUE,19/05/2026 12:47
Q-0013,"galti se maine apna OTP kisi ko de diya tha phone pe, ab dar lag raha hai account ka",code_switched,"By mistake I gave my OTP to someone on the phone, now I'm scared about my account.",fraud_report,FAQ-079,N/A,worried,email,general_user,FALSE,15/06/2026 12:36
Q-0014,"Dear support, app khud logout kr deta h thori der mein, itni jaldi kyun Please help me na.",roman_urdu,"The app automatically logs out after a while, why so quickly?",login_security,FAQ-058,N/A,neutral,in_app_chat,senior_citizen,FALSE,23/05/2026 17:12
Q-0015,"Assalam o alaikum, Refund ho sakta hai kya plesae help, qR code se galat banday ko paisa chala gaya Kindly guide me.",code_switched,"I sent money to the wrong person via QR code, can I get a refund, please help.",refunds,FAQ-030,N/A,worried,phone_call,senior_citizen,TRUE,08/05/2026 14:51
Q-0016,"excuse me, Baar baar mpin dalna parta hai, fingerprint se login kaise on karu please help",code_switched,"How do I turn on fingerprint login, I have to enter my MPIN every time.",login_security,FAQ-054,N/A,neutral,whatsapp_support,general_user,FALSE,26/04/2026 18:14
Q-0017,"top up ki minimum aur maximum limit kya hai app pe, bara amount dalna hai",code_switched,"What are the minimum and maximum top-up limits on the app, I need to put in a large amount.",top_up_failure,FAQ-036,N/A,neutral,phone_call,small_business_owner,FALSE,30/06/2026 16:20
Q-0018,"hey, whats my daily sending limit on this app",english,What's my daily sending limit on this app?,fees_limits,FAQ-061,N/A,neutral,email,student,FALSE,03/06/2026 16:09
Q-0019,"hi, Ab hi escalate kese karu isko, meri complaint 3 din se solve nai hui appreciate the help",code_switched,"My complaint hasn't been resolved for 3 days, how do I escalate it now?",agent_escalation,FAQ-082,N/A,frustrated,email,freelancer,FALSE,13/06/2026 22:51
Q-0020,"stopped getting push notifications for payments, checked settings still nothing",english,"I stopped getting push notifications for payments, I checked settings and there's still nothing.",app_technical,FAQ-094,N/A,neutral,in_app_chat,freelancer,FALSE,16/04/2026 17:44
Q-0021,"bhai kya video call se bhi verification ho sakti hy, mera selfie step baar baar fail horha h pls help",code_switched,"Can verification also happen via video call, my selfie step keeps failing repeatedly?",kyc_cnic,FAQ-050,N/A,neutral,email,student,FALSE,02/04/2026 19:53
Q-0022,"yo, mera chota beta minor hai, uska apna verified account ban sakta h ya koi junior option hai asap plz",roman_urdu,"Can my minor son get his own verified account, or is there some junior option?",kyc_cnic,FAQ-047,N/A,neutral,phone_call,student,FALSE,25/05/2026 15:03
Q-0023,"hi, Bara payment krna h, mera daily transaction limit kitna hai verified account pe",code_switched,"What's my daily transaction limit on a verified account, I need to make a large payment.",fees_limits,FAQ-061,N/A,neutral,email,freelancer,FALSE,12/06/2026 6:54
Q-0024,"Beta, want to dispute a fraudulent charge on my card, whats the process Please help me na.",english,"I want to dispute a fraudulent charge on my card, what's the process?",fraud_report,FAQ-076,Debit Card,neutral,whatsapp_support,senior_citizen,FALSE,03/04/2026 22:49
Q-0025,urgent - ATM se paisa nikalne ka charge kitna h debit card se aur roz ki limit kya hai this is urgent,code_switched,"How much is the charge for withdrawing money at an ATM with the debit card, and what's the daily limit?",fees_limits,FAQ-069,Debit Card,neutral,phone_call,small_business_owner,FALSE,12/05/2026 22:42
Q-0026,"Assalam o alaikum, Limits alag alag hain kya, whats the difference between basic and verified acc on zar labs Meherbani hogi.",code_switched,"What's the difference between basic and verified accounts on Zar Labs, are the limits different?",account_verification,FAQ-002,N/A,neutral,whatsapp_support,senior_citizen,FALSE,29/06/2026 14:27
Q-0027,"Selfie wala step baar baar fail ho raha hai, roshni thk hai phir b pls help",code_switched,"The selfie step keeps failing repeatedly, even though the lighting is fine.",kyc_cnic,FAQ-044,N/A,neutral,phone_call,student,FALSE,18/05/2026 15:04
Q-0028,"Verification pending hai still, submitted CNIC yesterday, any update?? Meherbani hogi.",code_switched,"Verification is still pending, I submitted my CNIC yesterday, is there any update?",account_verification,FAQ-003,N/A,frustrated,email,senior_citizen,FALSE,26/05/2026 12:44
Q-0029,"Mera balance galat show horaha hy app pe, actual se km dikha raha hai this is urgent",code_switched,"My balance is showing incorrectly on the app, it's showing less than the actual amount.",app_technical,FAQ-092,N/A,worried,phone_call,small_business_owner,FALSE,19/06/2026 21:50
Q-0030,Mera card expire ho gaya h top up k time error de raha h naya card kaise add karoon appreciate the help,code_switched,"My card has expired, it's giving an error at top-up time, how do I add a new card?",top_up_failure,FAQ-037,Debit Card,neutral,in_app_chat,freelancer,FALSE,02/04/2026 19:10
Q-0031,"Salam, OTP nahi aa raha mujhe login k liye, 3 baar try kiya",code_switched,"I'm not getting the OTP for login, I've tried 3 times.",login_security,FAQ-055,N/A,frustrated,whatsapp_support,senior_citizen,FALSE,06/05/2026 13:57
Q-0032,"Dear support, cross bank transfer itni deir kiun le raha hai, urgent tha ye payment",code_switched,"Why is my cross-bank transfer taking so long, this payment was urgent.",transaction_status,FAQ-020,Bank Transfer,frustrated,whatsapp_support,senior_citizen,FALSE,04/06/2026 6:47
Q-0033,"hey, forgot my password, whats the reset process need this sorted sooon",english,"I forgot my password, what's the reset process?",login_security,FAQ-051,N/A,neutral,in_app_chat,freelancer,TRUE,16/05/2026 18:06
Q-0034,"quick q - how safe is changing my registered mobile number, worried about sim swap fraud thanks",english,"How safe is changing my registered mobile number, I'm worried about sim swap fraud.",login_security,FAQ-056,N/A,worried,whatsapp_support,freelancer,FALSE,14/05/2026 13:43
Q-0035,"Plz check, bank confirms transfer received par app mein status update nahin ho rha",code_switched,"My bank confirms the transfer was received but the app status isn't updating, please check.",transaction_status,FAQ-013,Bank Transfer,frustrated,whatsapp_support,senior_citizen,FALSE,24/06/2026 16:11
Q-0036,"hi, Refund k liye kia process hai, merchant se disput hai order ka need this sorted soon",code_switched,"I have a dispute with a merchant about an order, what's the process for a refund?",refunds,FAQ-025,N/A,neutral,in_app_chat,freelancer,FALSE,27/04/2026 18:27
Q-0037,"Got a text asking for my otp claiming to be zar labs support, is this legit need this resolved today",english,"I got a text asking for my OTP claiming to be Zar Labs support, is this legit?",fraud_report,FAQ-073,N/A,worried,phone_call,small_business_owner,FALSE,31/05/2026 12:25
Q-0038,"ek merchant fraud scheme chala raha hai lagta hai, kaise report karu use",code_switched,"It seems a merchant is running a fraud scheme, how do I report them?",fraud_report,FAQ-080,N/A,neutral,email,small_business_owner,FALSE,04/04/2026 11:41
Q-0039,"transfer failed but amount deducted from wallet, this happened again, so annoying",code_switched,"The transfer failed but the amount was deducted from my wallet, this happened again, so annoying.",transaction_status,FAQ-012,N/A,frustrated,phone_call,small_business_owner,FALSE,04/04/2026 21:42
Q-0040,"Assalam o alaikum, easypaisa pe transfer karne ka koi charge lagta hy kia, kitna hai Please help me na.",code_switched,"Is there a charge for transferring to EasyPaisa, how much is it?",fees_limits,FAQ-063,EasyPaisa,neutral,phone_call,senior_citizen,FALSE,09/04/2026 19:41
Q-0041,"yo, mujhe suspicious login attempt ka SMS aya hy jo maine nahi kiya, mera account safe hai na? asap plz",code_switched,"I got a suspicious login attempt SMS that I didn't do, is my account safe?",login_security,FAQ-059,N/A,worried,email,student,FALSE,30/06/2026 10:07
Q-0042,"OTP nahi aa raha mujhe login k liye, 3 baar try kiya",code_switched,"I'm not getting the OTP for login, I've tried 3 times.",login_security,FAQ-055,N/A,frustrated,whatsapp_support,general_user,FALSE,29/06/2026 18:30
Q-0043,"Agent ko cash diya tha top up k liye abhi tak wallet mein nahin aya, receipt mere pass hai koi to bata dein",code_switched,"I gave cash to an agent for a top-up, it still hasn't come to my wallet, I have the receipt.",top_up_failure,FAQ-038,N/A,worried,in_app_chat,general_user,FALSE,17/04/2026 16:41
Q-0044,"hey, CNIC verification k liye konsy documents chaiye submit karne, selfie bhi chaiye kya? thanks",code_switched,"Which documents do I need to submit for CNIC verification, is a selfie also required?",kyc_cnic,FAQ-041,N/A,neutral,phone_call,freelancer,FALSE,24/05/2026 10:20
Q-0045,"excuse me, app loading screen pe hi atka reh gaya hai, aage nahi ja raha please help",code_switched,"The app is stuck on the loading screen, it's not going any further.",app_technical,FAQ-100,N/A,frustrated,whatsapp_support,general_user,FALSE,11/05/2026 0:25
Q-0046,"Can zar labs help recover the money, paid a fake online seller through the app reply fast please",code_switched,"I paid a fake online seller through the app, can Zar Labs help recover the money?",fraud_report,FAQ-078,N/A,worried,phone_call,small_business_owner,FALSE,23/06/2026 18:34
Q-0047,need heelp fast - kya mai apna account do phones pe ek sath use kr sakta hu? reply fast please,roman_urdu,Can I use my account on two phones at the same time?,app_technical,FAQ-099,N/A,neutral,in_app_chat,small_business_owner,TRUE,05/06/2026 3:11
Q-0048,"hey, mujhe do martaba charge hua hai same transaction k liye, dono reference number hain, refund kaise milega asap plz",code_switched,"I got charged twice for the same transaction, I have both reference numbers, how do I get a refund?",transaction_status,FAQ-014,N/A,frustrated,whatsapp_support,student,FALSE,01/07/2026 21:20
Q-0049,"excuse me, Aage nahi ja raha, app loading screen pe hi atka reh gaya h please help",code_switched,"The app is stuck on the loading screen, it's not going any further.",app_technical,FAQ-100,N/A,frustrated,in_app_chat,general_user,FALSE,15/06/2026 19:10
Q-0050,"hi, paid a fake online seller through the app, can zar labs help recover the money thanks",code_switched,"I paid a fake online seller through the app, can Zar Labs help recover the money?",fraud_report,FAQ-078,N/A,worried,email,freelancer,FALSE,27/06/2026 10:32
Q-0051,"hey, ajeeb sa QR code scan kiya tha, merchant ka naam bhi thora ajeeeb tha, kaise report karoon someone reply?",roman_urdu,"I scanned a weird looking QR code, the merchant name looked off, how do I report it?",fraud_report,FAQ-075,N/A,neutral,email,student,TRUE,23/04/2026 19:00
Q-0052,"Kb confirm hoga, bijli ka bill pay kiya tha kal se pending dikha raha hai someone reply?",code_switched,"I paid my electricity bill and it's been showing pending since yesterday, when will it confirm?",transaction_status,FAQ-016,N/A,neutral,email,student,FALSE,26/06/2026 16:57
Q-0053,"hey, meray CNIC pe naam thora alag hai us se jo maine regisster k waqt likha tha, ab kia karoon isko theek karne k liye pls help",roman_urdu,"I paid the wrong biller by mistake, can I get my money back, please, it's urgent.",refunds,FAQ-024,N/A,frustrated,email,student,TRUE,08/04/2026 11:36
Q-0054,"Dear support, kya video call se bhi verification ho sakti hai, mera selfie step baar baar fail ho raha hy",code_switched,"Can verification also happen via video call, my selfie step keeps failing repeatedly?",kyc_cnic,FAQ-050,N/A,neutral,email,senior_citizen,FALSE,26/04/2026 11:38
Q-0055,"Bill payment stukc on pending for over a day now, will it auto refund or what appreciate the help",code_switched,"My bill payment has been stuck on pending for over a day now, will it auto refund or what?",transaction_status,FAQ-016,N/A,frustrated,whatsapp_support,freelancer,TRUE,04/04/2026 22:02
Q-0056,Basic aur verified account ki monthly limit mein kitna farak hy exactly,code_switched,What's the exact difference between the monthly limits of basic and verified accounts?,fees_limits,FAQ-062,N/A,neutral,in_app_chat,freelancer,FALSE,07/06/2026 22:53
Q-0057,"Mera account kaafi mahino se use nahi hua, koi charge to nahi lag rha inactive rehne ka pls help",code_switched,"My account hasn't been used for many months, is there any charge for being inactive?",fees_limits,FAQ-067,N/A,worried,whatsapp_support,student,FALSE,15/04/2026 18:22
Q-0058,"listen, mera account lock ho gaya hai baar baar galat password dalne ki wajah se, ab kya karu",code_switched,"My account got locked because I entered the wrong password repeatedly, what should I do now?",login_security,FAQ-053,N/A,worried,whatsapp_support,small_business_owner,FALSE,13/04/2026 17:16
Q-0059,"sir, got charged twice for one payment, is this some kind of glitch, need this fixed asap please help",english,"I got charged twice for one payment, is this some kind of glitch, I need this fixed asap.",transaction_status,FAQ-014,N/A,angry,phone_call,general_user,FALSE,09/04/2026 12:29
Q-0060,"mera phone chori ho gaya hai abhi, meri zar labs app kaise freeze karu turant",code_switched,"My phone was just stolen, how do I freeze my Zar Labs app right away?",fraud_report,FAQ-072,N/A,worried,email,general_user,FALSE,06/04/2026 20:09
Q-0061,"Meri naya CNIC ban gai hai number change ho gaya hai, profile update krna hoga kya Please help me na.",code_switched,"I've gotten a new CNIC and the number has changed, will I need to update my profile?",kyc_cnic,FAQ-048,N/A,neutral,whatsapp_support,senior_citizen,FALSE,22/06/2026 13:40
