faq_id,category,question_en,answer_en,payment_method,keywords
FAQ-001,account_verification,How do I verify my Zar Labs account?,"Open the app, go to Profile > Verify Account, upload clear photos of the front and back of your CNIC, then complete a live selfie for facial match. Verification is typically completed within 24 hours; you'll receive a push notification once approved.",N/A,"tasdeeq, verify account, CNIC, selfie, khata"
FAQ-002,account_verification,What is the difference between a Basic and Verified Zar Labs account?,"A Basic (unverified) account allows wallet loading and spending up to PKR 25,000 per month with no CNIC on file. A Verified account, after CNIC and selfie confirmation, raises the monthly limit to PKR 500,000 and unlocks bank transfers, debit card issuance, and higher single-transaction caps.",N/A,"basic account, verified account, limit, tasdeeq, khata"
FAQ-003,account_verification,Why does my account show "Verification Pending"?,"This status means your CNIC images and selfie were submitted successfully and are queued for NADRA Verisys cross-check. Standard review takes up to 24 hours; if it exceeds 48 hours, contact support with your registered mobile number.",N/A,"pending, intezar, NADRA, khata, tasdeeq"
FAQ-004,account_verification,Can I use Zar Labs without submitting my CNIC?,"Yes, a Basic account can be created with just your mobile number, but it is capped at PKR 25,000 in monthly transactions and cannot send money to bank accounts. Full CNIC verification is required to remove these restrictions.",N/A,"bina CNIC, basic khata, limit, tasdeeq"
FAQ-005,account_verification,How long does full account verification normally take?,"Automated NADRA verification usually completes within a few minutes to 24 hours. If your CNIC record requires manual review, it can take up to 3 business days, and you will be notified by SMS once a decision is made.",N/A,"kitna waqt, tasdeeq, intezar, 3 din"
FAQ-006,account_verification,What should I do if my CNIC verification is rejected?,"Check the rejection reason shown in Profile > Verification Status — common causes are blurry images or a mismatched selfie. Resubmit clear, well-lit photos of both CNIC sides and retry the selfie. You can resubmit up to 5 times before the account is flagged for manual agent review.",N/A,"reject, dobara, tasdeeq fail, resubmit"
FAQ-007,account_verification,Can I change my registered mobile number after verification?,"Yes. Go to Profile > Change Mobile Number, enter the new number, and confirm via OTP sent to both the old and new numbers. The change takes effect immediately, but a fresh selfie liveness check is required for security.",N/A,"mobile number badalna, naya number, OTP, tasdeeq"
FAQ-008,account_verification,Do I need to re-verify my account if I get a new SIM with the same number?,"No re-verification is required if your mobile number stays the same. However, you will need to log in again and complete OTP authentication on the new SIM before resuming full access.",N/A,"naya SIM, wohi number, OTP, login"
FAQ-009,account_verification,Can someone without a Pakistani CNIC open a Zar Labs account?,"Zar Labs currently only supports verification using a valid Pakistani CNIC or NICOP. POC and ARC holders are not yet supported for full verification and are limited to Basic account features.",N/A,"CNIC nahi, NICOP, POC, tasdeeq, ARC"
FAQ-010,account_verification,How can I check my current account verification tier in the app?,"Go to Profile > Account Level. This screen shows whether you are Basic or Verified, your current monthly transaction limit, and any pending verification steps.",N/A,"account level, tier check, khata dekhna, tasdeeq status"
FAQ-011,transaction_status,What does "Pending" mean for a transfer I sent?,"Pending means the transaction has left your wallet and is being processed by the receiving bank or wallet network. Most transfers clear within 15 minutes; interbank transfers can take up to 2 hours during banking hours.",N/A,"pending, ruka hua, transfer, intezar, foran"
FAQ-012,transaction_status,My transfer failed but the amount was deducted from my wallet — what happens?,"If a transfer shows ""Failed"" after deduction, the amount is automatically reversed to your Zar Labs wallet within 3 business days. You can track the reversal under Transaction History > Reversals.",N/A,"paisa kat gaya, failed, wapsi, reversal"
FAQ-013,transaction_status,Why is my bank transfer not showing as complete even though my bank confirms receipt?,"This is usually a delayed status webhook from the receiving bank. Balances update within 30 minutes; if it exceeds 3 hours, tap ""Refresh Status"" on the transaction or contact support with the reference number.",Bank Transfer,"bank transfer, delay, webhook, status update"
FAQ-014,transaction_status,I was charged twice for the same transaction — is this normal?,"No, duplicate charges typically result from network timeouts during payment. Report the duplicate via Transaction History > Report Issue with both reference numbers; duplicate charges are auto-refunded within 5 business days after verification.",N/A,"duplicate, do martaba, wapis, kat gaya"
FAQ-015,transaction_status,How do transaction reversals work at Zar Labs?,"Reversals occur when a transaction cannot be completed by the receiving party, such as an invalid account number. Funds return to your Zar Labs wallet automatically, usually within 24-72 hours, and you'll see a ""Reversed"" status in your history.",N/A,"reversal, wapsi, raqam, khata"
FAQ-016,transaction_status,My bill payment shows "Pending" — when will it be confirmed?,"Utility and telecom bill payments are confirmed by the biller within 1-24 hours. If a payment stays pending beyond 24 hours, the amount is auto-reversed to your wallet and you can retry the payment.",N/A,"bill payment, pending, bijli bill, intezar"
FAQ-017,transaction_status,How can I check the status of money sent from EasyPaisa into my Zar Labs wallet?,"Open Transaction History and search by the EasyPaisa transaction ID (TID). Incoming EasyPaisa transfers usually reflect within 5-10 minutes; if not visible after 30 minutes, share the TID with support for manual reconciliation.",EasyPaisa,"EasyPaisa, TID, paisa aaya, status check"
FAQ-018,transaction_status,Why isn't my transaction history updating in real time?,"A short delay can occur due to network sync between our servers and your app cache. Pull down on the Transaction History screen to force-refresh; if entries are still missing after 10 minutes, log out and back in.",N/A,"history update nahi, refresh, sync, purana data"
FAQ-019,transaction_status,My JazzCash transfer to Zar Labs is stuck on "Processing" — what should I do?,"JazzCash transfers can take up to 15 minutes to process. If it remains in ""Processing"" beyond 1 hour, do not resend; instead, contact support with the JazzCash transaction ID so we can trace it without double charging you.",JazzCash,"JazzCash, processing, atka hua, transaction ID"
FAQ-020,transaction_status,Why is my cross-bank transfer taking longer than usual?,"Transfers to banks outside the 1-Link real-time network, or those sent after 6 PM or on public holidays, are queued for the next settlement cycle and may take up to 1 business day to complete.",Bank Transfer,"bank transfer, deir, 1-Link, holiday, der"
FAQ-021,refunds,How do I get a refund for a failed bill payment?,"If a bill payment fails after the biller rejects it, the amount is automatically refunded to your Zar Labs wallet within 3-5 business days. No manual request is needed; check Transaction History for the ""Refunded"" tag.",N/A,"refund, bill fail, wapis paisa, wallet"
FAQ-022,refunds,How long does it take to get a refund after cancelling a transaction?,"Transactions cancelled before processing are refunded instantly to your wallet. Transactions already sent to a third party can take 3-7 business days to reverse, depending on the receiving bank or wallet.",N/A,"cancel, refund time, foran wapis, raqam"
FAQ-023,refunds,Will my refund go back to my wallet or my original payment method?,"Refunds for wallet-funded transactions return to your Zar Labs wallet. Refunds for debit card top-ups are credited back to the same card and can take 5-10 business days depending on your bank's processing time.",Debit Card,"refund method, card wapis, wallet credit"
FAQ-024,refunds,I paid the wrong biller or entered the wrong account number — can I get a refund?,"If the payment hasn't been claimed by the biller yet, cancel it immediately from Transaction History for an instant refund. If already processed, submit a Wrong Payment Claim; resolution typically takes 7-10 business days as it depends on the receiving biller's cooperation.",N/A,"ghalat account, wrong biller, refund claim, raqam wapis"
FAQ-025,refunds,How are refunds handled for disputed merchant transactions?,"Open a dispute under Transaction History > Dispute Transaction within 30 days of the purchase. Our team investigates with the merchant and typically resolves disputes within 15 business days, crediting your wallet if the dispute is upheld.",N/A,"dispute, merchant refund, jhagra, shikayat"
FAQ-026,refunds,How can I track the status of a refund I've requested?,"Go to Profile > Refund Requests to see real-time status: Submitted, Under Review, Approved, or Credited. You'll also get an SMS notification at each stage.",N/A,"refund status, track karna, notification, wapsi"
FAQ-027,refunds,Does Zar Labs offer partial refunds?,"Yes, partial refunds are issued when only part of an order or bill is invalid — for example, an overcharge on a utility bill. The disputed portion is credited to your wallet within 5-7 business days after verification.",N/A,"partial refund, aadha paisa, overcharge, wapis"
FAQ-028,refunds,I accidentally topped up twice — how do I get the duplicate amount refunded?,"Duplicate top-ups from the same source within 10 minutes are detected automatically and refunded to the original payment method within 5 business days. If not auto-detected, report it via Transaction History > Report Issue.",N/A,"duplicate top-up, do martaba, refund, wapis paisa"
FAQ-029,refunds,Can I get a refund if my account was used for an unauthorized transaction?,"Unauthorized transaction refunds are handled through our Fraud team, not standard refunds. File a fraud report immediately via Help > Report Fraud; approved claims are typically credited within 10 business days after investigation.",N/A,"dhoka, unauthorized, fraud refund, tehqeeqat"
FAQ-030,refunds,I sent money via QR code to the wrong recipient — can it be refunded?,"QR payments are final once confirmed, similar to cash. We can request the recipient to voluntarily return the funds, but Zar Labs cannot force a refund. Always verify the recipient's name shown before confirming a QR payment.",N/A,"QR code, ghalat banda, refund nahi, tasdeeq name"
FAQ-031,top_up_failure,My EasyPaisa top-up failed but the balance was deducted from EasyPaisa — what now?,"This typically resolves automatically once EasyPaisa confirms the failed status, crediting your Zar Labs wallet within 3-5 business days. If not reflected after 5 days, share your EasyPaisa transaction ID with support.",EasyPaisa,"EasyPaisa top-up fail, paisa kat gaya, wapis, TID"
FAQ-032,top_up_failure,My JazzCash top-up isn't reflecting in my Zar Labs wallet — what should I do?,"Wait 15 minutes as JazzCash top-ups can be briefly delayed. If the balance still doesn't appear and JazzCash confirms the deduction, contact support with your JazzCash transaction reference for manual crediting within 3 business days.",JazzCash,"JazzCash top-up, balance nahi aya, deir, wallet"
FAQ-033,top_up_failure,Why did my bank transfer top-up fail with a "Limit Exceeded" message?,"This occurs when a single bank transfer exceeds PKR 100,000 or when your daily top-up limit of PKR 200,000 has been reached. Split the transfer into smaller amounts or try again the next day.",Bank Transfer,"limit exceeded, bank transfer, hadd, top-up fail"
FAQ-034,top_up_failure,My debit card top-up keeps getting declined — why?,"Common causes are insufficient card limits, 3D Secure/OTP not being entered in time, or your bank blocking online transactions. Confirm online transactions are enabled with your bank and retry, or use EasyPaisa/JazzCash instead.",Debit Card,"card decline, top-up fail, 3D secure, OTP"
